Domain,Category,ForSale,Above,Afternic,Flippa,Sedo
8-bitguy.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
8bitshack.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
8-bitshack.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
8bitshack.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
8-bitshack.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
abusemedaddy.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
arcadeparadise.com,Games,TRUE,FALSE,FALSE,FALSE,TRUE
autohits247.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
avsen.dk,News,TRUE,FALSE,FALSE,FALSE,TRUE
batchgeoco.de,IT,TRUE,FALSE,FALSE,FALSE,TRUE
big-mike.me,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
big-mike.net,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
bigmike.us.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
big-mike.us.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
bigmikes.me,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
big-mikes.me,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
big-mikes.net,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
bigmikes.us.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
big-mikes.us.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
bigmikesburgers.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
bigmikesburgersandshakes.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
bigmikesburgershack.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
billycash.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
blastrale.dk,Movies,TRUE,FALSE,FALSE,FALSE,TRUE
blogkollektiv.dk,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
blogkollektivet.dk,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
blaastraale.dk,Movies,TRUE,FALSE,FALSE,FALSE,TRUE
bmbs.me,Uncategorized,TRUE,FALSE,FALSE,FALSE,TRUE
buildmeaclient.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
burgerdex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
cardscounter.com,Games,TRUE,FALSE,FALSE,FALSE,TRUE
cellcalc.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
chickendex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
chinacrap.dk,Ecommerce,TRUE,FALSE,FALSE,FALSE,TRUE
chinesedex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
citrafficlight.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
copenhagenauto.com,Automotive,TRUE,FALSE,FALSE,FALSE,TRUE
copenhagenauto.dk,Automotive,TRUE,FALSE,FALSE,FALSE,TRUE
cosplaycunt.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
cosplaywhore.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
cosplaywhores.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
cougarpalace.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
domainmagic.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
domain-magic.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
dreamcast.dk,Games,TRUE,FALSE,FALSE,FALSE,TRUE
dropclub.dk,Nightlife,TRUE,FALSE,FALSE,FALSE,TRUE
ducksdash.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
eclipseloan.com,Finance,TRUE,FALSE,FALSE,FALSE,TRUE
extremefeedback.dk,IT,TRUE,FALSE,FALSE,FALSE,TRUE
extremefeedback.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
extremefeedbackdevices.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
extremefeedbackdevices.dk,IT,TRUE,FALSE,FALSE,FALSE,TRUE
extremefeedbackdevices.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
falafeldex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
femmefatals.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
filmroulette.dk,Movies,TRUE,FALSE,FALSE,FALSE,TRUE
flirtyfox.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
flirtyfoxshop.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
frejadottir.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
freja-dottir.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
gamedevelopercareer.com,Career,TRUE,FALSE,FALSE,FALSE,TRUE
gamerscollection.net,Games,TRUE,FALSE,FALSE,FALSE,TRUE
generateimage.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
geocodebat.ch,IT,TRUE,FALSE,FALSE,FALSE,TRUE
geocodebatch.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
giamodo.com,Techonology,TRUE,FALSE,FALSE,FALSE,TRUE
goodcareerchoices.com,Career,TRUE,FALSE,FALSE,FALSE,TRUE
gourmetdex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
hjemmebioshop.dk,Movies,TRUE,FALSE,FALSE,FALSE,TRUE
hostedlogs.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
hotdogdex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
hrelectronics.com,Electronics,TRUE,FALSE,FALSE,FALSE,TRUE
johnnymascaro.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
junkfooddex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
kary.dk,Food,TRUE,FALSE,FALSE,FALSE,TRUE
kebabdex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
kente.dk,Gossip,TRUE,FALSE,FALSE,FALSE,TRUE
kinacrap.com,Ecommerce,TRUE,FALSE,FALSE,FALSE,TRUE
kinacrap.dk,Ecommerce,TRUE,FALSE,FALSE,FALSE,TRUE
kleinefabrik.com,Ecommerce,TRUE,FALSE,FALSE,FALSE,TRUE
laekkerlejlighed.dk,Real Estate,TRUE,FALSE,FALSE,FALSE,TRUE
laekkervilla.dk,Real Estate,TRUE,FALSE,FALSE,FALSE,TRUE
latex-doll.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
latexfuckdoll.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
latexfuckslut.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
latex-slut.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
logawesome.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
lonestarconsult.com,Consulting,TRUE,FALSE,FALSE,FALSE,TRUE
longhornconsult.com,Consulting,TRUE,FALSE,FALSE,FALSE,TRUE
maleuseof.com,Techonology,TRUE,FALSE,FALSE,FALSE,TRUE
maxeuseof.com,Techonology,TRUE,FALSE,FALSE,FALSE,TRUE
medieboersen.dk,IT,TRUE,FALSE,FALSE,FALSE,TRUE
mike.wedding,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
mikes.wedding,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
mikkel.wedding,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
mikkels.wedding,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
milfcastle.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
milfcosplay.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
milfcunts.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
modplayer.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
movieurope.com,Movies,TRUE,FALSE,FALSE,FALSE,TRUE
nailmedaddy.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nameadmininc.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
nannyprofile.com,Personal,TRUE,FALSE,FALSE,FALSE,TRUE
nerdsluts.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nerdycunt.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nerdycunts.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nerdywhore.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nerdywhores.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
nswering.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
nswering.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
pasketti.dk,Ecommerce,TRUE,FALSE,FALSE,FALSE,TRUE
pastadex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
pcsoundsystem.com,Techonology,TRUE,FALSE,FALSE,FALSE,TRUE
pegging.dk,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
pegmeplease.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
pegmeplease.dk,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
pegmeplease.me,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
pizza.us.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
pizzadex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
pizzane.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
pollawesome.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
pplicable.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
ramendex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
random-junk.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
randomjunkfood.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
randomjunkstore.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
reporttax.com,Finance,TRUE,FALSE,FALSE,FALSE,TRUE
retrorado.com,Games,TRUE,FALSE,FALSE,FALSE,TRUE
rubberfuckdoll.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
rubberfuckslut.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
rubber-slut.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
seporno.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
shawarmadex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
skankton.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
slapmedaddy.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
sleezcam.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
sleezcams.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
sleezycam.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
sleezycams.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
slutagency.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
sluttranny.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
smyker.dk,Jewelry,TRUE,FALSE,FALSE,FALSE,TRUE
soupdex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
spaghetti.us.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
spaghettidex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
spammenot.dk,IT,TRUE,FALSE,FALSE,FALSE,TRUE
sweecash.com,Finance,TRUE,FALSE,FALSE,FALSE,TRUE
tastytori.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
tastytorii.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
telejokes.dk,Telephony,TRUE,FALSE,FALSE,FALSE,TRUE
telepistjek.dk,Telephony,TRUE,FALSE,FALSE,FALSE,TRUE
telepristek.dk,Telephony,TRUE,FALSE,FALSE,FALSE,TRUE
telepristjek.com,Telephony,TRUE,FALSE,FALSE,FALSE,TRUE
telpristjek.dk,Telephony,TRUE,FALSE,FALSE,FALSE,TRUE
the8-bitguy.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8bitguy.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8-bitguy.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8bitshack.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8-bitshack.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8bitshack.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
the8-bitshack.net,IT,TRUE,FALSE,FALSE,FALSE,TRUE
thedatingregistry.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
thedatingregistry.dk,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
tofudex.com,Food,TRUE,FALSE,FALSE,FALSE,TRUE
topbusinesscareers.com,Career,TRUE,FALSE,FALSE,FALSE,TRUE
toriitoxic.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
toritoxic.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
toxictori.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
toxictorii.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
trannycosplay.com,Adult,TRUE,FALSE,FALSE,FALSE,TRUE
truecallerid.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
u2factor.com,IT,TRUE,FALSE,FALSE,FALSE,TRUE
visithotels.com,Hospitality,TRUE,FALSE,FALSE,FALSE,TRUE
wherecanipark.net,Hospitality,TRUE,FALSE,FALSE,FALSE,TRUE
woodkeyboards.com,Techonology,TRUE,FALSE,FALSE,FALSE,TRUE
